ImageName,ColorCast,LowIllumination,Blur,ClassificationDecision
image_001.png,1,0,0,Color Cast(MEDIUM:0.57)
image_002.png,0,0,1,Blur(MEDIUM:0.59)
image_003.png,1,1,0,Color Cast(MEDIUM:0.52);Low Light(LOW:0.48)
image_004.png,0,1,1,Low Light(HIGH:0.75);Blur(HIGH:0.91)
image_005.png,1,0,1,Color Cast(MEDIUM:0.55);Blur(MEDIUM:0.67)
image_006.png,1,0,1,Color Cast(MEDIUM:0.64);Blur(LOW:0.42)
image_007.png,1,1,1,Color Cast(MEDIUM:0.68);Low Light(LOW:0.47);Blur(HIGH:0.87)
image_008.png,1,1,1,Color Cast(MEDIUM:0.69);Low Light(LOW:0.44);Blur(MEDIUM:0.50)
image_009.png,1,1,1,Color Cast(MEDIUM:0.60);Low Light(LOW:0.45);Blur(HIGH:0.78)
image_010.png,0,0,1,Blur(HIGH:0.72)
image_011.png,1,1,1,Color Cast(MEDIUM:0.58);Low Light(LOW:0.48);Blur(HIGH:0.78)
image_012.png,1,1,0,Color Cast(HIGH:0.72);Low Light(MEDIUM:0.52)
image_013.png,1,0,0,Color Cast(LOW:0.41)
image_014.png,0,0,0,Normal
image_015.png,0,0,0,Normal
image_016.png,1,1,0,Color Cast(MEDIUM:0.57);Low Light(LOW:0.44)
image_017.png,0,0,0,Normal
image_018.png,0,1,1,Low Light(HIGH:0.72);Blur(LOW:0.42)
image_019.png,0,1,1,Low Light(HIGH:0.82);Blur(HIGH:0.99)
image_020.png,0,1,1,Low Light(HIGH:0.85);Blur(HIGH:0.92)
image_021.png,0,1,1,Low Light(HIGH:0.75);Blur(HIGH:0.79)
image_022.png,0,0,0,Normal
image_023.png,0,1,0,Low Light(HIGH:0.75)
image_024.png,0,1,1,Low Light(MEDIUM:0.61);Blur(HIGH:0.78)
image_025.png,0,1,1,Low Light(HIGH:0.80);Blur(HIGH:0.94)
image_026.png,0,0,0,Normal
image_027.png,0,1,1,Low Light(MEDIUM:0.53);Blur(HIGH:0.92)
image_028.png,0,1,1,Low Light(LOW:0.50);Blur(LOW:0.42)
image_029.png,0,1,0,Low Light(MEDIUM:0.52)
image_030.png,0,0,0,Normal
image_031.png,0,0,0,Normal
image_032.png,0,1,1,Low Light(MEDIUM:0.53);Blur(HIGH:0.81)
image_033.png,1,1,1,Color Cast(MEDIUM:0.58);Low Light(LOW:0.49);Blur(LOW:0.49)
image_034.png,0,0,0,Normal
image_035.png,0,0,0,Normal
image_036.png,0,0,0,Normal
image_037.png,1,0,0,Color Cast(LOW:0.44)
image_038.png,0,0,0,Normal
image_039.png,1,0,1,Color Cast(MEDIUM:0.63);Blur(HIGH:0.87)
image_040.png,1,0,0,Color Cast(LOW:0.50)
image_041.png,1,1,0,Color Cast(LOW:0.42);Low Light(LOW:0.48)
image_042.png,0,0,0,Normal
image_043.png,1,0,1,Color Cast(MEDIUM:0.65);Blur(HIGH:0.90)
image_044.png,1,0,0,Color Cast(MEDIUM:0.56)
image_045.png,0,0,0,Normal
image_046.png,0,0,0,Normal
